Disease,Common disease group,Symptoms,Disease Group,Dosha Types
Cocaine-induced psychosis,Mental health / Psychiatric disorders,hallucinations (tactile/visual); paranoia; delusions; agitation; insomnia; violent behavior; hyperactivity; aggression; anxiety,substance-related and addictive disorders,pitta;vata
Opioid-induced mood disorder,Mental health / Psychiatric disorders,depressed mood; anhedonia; irritability; fatigue; anxiety; poor concentration; apathy; sleep disturbance with opioid use/withdrawal,substance-related and addictive disorders,kapha;vata
Sedative-hypnotic-induced sleep disorder,Mental health / Psychiatric disorders,daytime sleepiness; insomnia; nightmares; dependence; withdrawal insomnia; anxiety; cognitive slowing,substance-related and addictive disorders (sleep disturbance type),kapha;vata
Stimulant-induced anxiety disorder,Mental health / Psychiatric disorders,worry; restlessness; panic attacks; palpitations; tremors; sweating; insomnia; paranoia; agitation with stimulant use,substance-related and addictive disorders (anxiety type),vata;pitta
Tobacco use disorder (psychiatric dependence),Mental health / Psychiatric disorders,craving; irritability; anxiety; depressed mood; restlessness; increased appetite; poor concentration; withdrawal headaches,substance-related and addictive disorders (nicotine dependence),vata;kapha
Gambling disorder,Mental health / Psychiatric disorders,preoccupation with gambling; inability to stop; chasing losses; lying; jeopardizing relationships; irritability; financial distress,behavioral addiction disorder,vata;pitta
Internet gaming disorder,Mental health / Psychiatric disorders,excessive gaming; preoccupation; withdrawal symptoms; neglect of responsibilities; irritability; poor sleep; academic decline,behavioral addiction disorder,vata;kapha
Compulsive sexual behavior disorder,Mental health / Psychiatric disorders,excessive sexual thoughts; urges; risky encounters; guilt; anxiety; impaired functioning,behavioral addiction disorder (impulse-control),pitta;vata
Kleptomania,Mental health / Psychiatric disorders,recurrent stealing; tension before; pleasure/relief after; guilt; inability to resist,"disruptive, impulse-control, and conduct disorders",vata;pitta
Pyromania,Mental health / Psychiatric disorders,deliberate fire setting; fascination with fire; tension before; pleasure/relief after; repeated acts,"disruptive, impulse-control, and conduct disorders",pitta
Shopping addiction disorder,Mental health / Psychiatric disorders,compulsive shopping; preoccupation; financial issues; guilt; anxiety; tension relieved by purchases; secrecy,behavioral addiction disorder,kapha;vata
Pornography addiction disorder,Mental health / Psychiatric disorders,compulsive porn use; cravings; loss of control; neglect responsibilities; withdrawal (irritability; anxiety); secrecy,behavioral addiction disorder,pitta;vata
Compulsive exercise disorder,Mental health / Psychiatric disorders,excessive exercise; guilt if missed; anxiety; withdrawal symptoms; preoccupation with fitness; neglect life areas,behavioral addiction disorder,vata;pitta
Hypochondriasis (illness anxiety disorder),Mental health / Psychiatric disorders,preoccupation with illness; misinterpreting symptoms; reassurance-seeking; anxiety; distress despite normal tests,somatic symptom and related disorders,vata
Somatic symptom disorder,Mental health / Psychiatric disorders,excessive focus on symptoms; unexplained pains; fatigue; GI issues; neuro complaints; high health anxiety,somatic symptom and related disorders,vata;kapha
Conversion disorder,Mental health / Psychiatric disorders,motor/sensory symptoms (paralysis; blindness; seizures; mutism) without neuro basis; stressors; impairment,somatic symptom and related disorders,vata
Factitious disorder imposed on self,Mental health / Psychiatric disorders,falsification of symptoms; inducing illness; deception; frequent medical visits; dramatic but inconsistent history,somatic symptom and related disorders (factitious type),vata;pitta
Factitious disorder imposed on another,Mental health / Psychiatric disorders,caregiver falsifying illness in another; deceptive reporting; unnecessary procedures; controlling behavior,somatic symptom and related disorders (factitious type),pitta;vata
Personality disorder – paranoid type,Mental health / Psychiatric disorders,distrust; suspicion; interpreting benign remarks as threats; grudges; hypersensitivity; hostility,personality disorder (cluster A),vata;pitta
Personality disorder – schizoid type,Mental health / Psychiatric disorders,detachment; restricted affect; solitude preference; no intimacy interest; indifference to praise/criticism,personality disorder (cluster A),vata;kapha
Personality disorder – schizotypal type,Mental health / Psychiatric disorders,odd beliefs; magical thinking; perceptual experiences; paranoia; eccentric behavior; anxiety; few relationships,personality disorder (cluster A),vata
Personality disorder – antisocial type,Mental health / Psychiatric disorders,disregard for others; deceitfulness; impulsivity; aggression; irresponsibility; no remorse; manipulativeness,personality disorder (cluster B),pitta
Personality disorder – borderline type,Mental health / Psychiatric disorders,unstable relationships; abandonment fear; impulsivity; self-harm; mood swings; emptiness; anger; identity disturbance,personality disorder (cluster B),vata;pitta
Personality disorder – histrionic type,Mental health / Psychiatric disorders,excessive emotionality; attention-seeking; theatrical behavior; suggestibility; shallow relations; appearance focus,personality disorder (cluster B),pitta;vata
Personality disorder – narcissistic type,Mental health / Psychiatric disorders,grandiosity; need for admiration; entitlement; no empathy; arrogance; exploitative; envy,personality disorder (cluster B),pitta
Personality disorder – avoidant type,Mental health / Psychiatric disorders,inhibition; inadequacy feelings; hypersensitivity; social avoidance; low self-esteem; desire acceptance but fear rejection,personality disorder (cluster C),vata;kapha
Personality disorder – dependent type,Mental health / Psychiatric disorders,excessive need for care; indecisive; fear abandonment; submissive; difficulty disagreeing; helpless alone,personality disorder (cluster C),kapha;vata
Personality disorder – obsessive–compulsive type,Mental health / Psychiatric disorders,preoccupation with order; perfectionism; rigidity; devotion to work; no delegation; stubbornness,personality disorder (cluster C),vata;pitta
Mixed personality disorder,Mental health / Psychiatric disorders,traits of multiple personality disorders; variable; dysfunction; chronic distress; identity instability; dysregulation,personality disorder (unspecified),vata;pitta;kapha
Sadistic personality disorder (proposed),Mental health / Psychiatric disorders,cruelty; enjoyment of suffering; aggression; dominance; manipulation; no empathy; humiliation,personality disorder (proposed type),pitta
Passive-aggressive personality disorder (proposed),Mental health / Psychiatric disorders,resistance to authority; procrastination; stubbornness; inefficiency; resentment; irritability; covert hostility,personality disorder (proposed type),vata;kapha
Self-injurious behavior disorder (non-suicidal self-injury),Mental health / Psychiatric disorders,recurrent cutting; burning; hitting; scratching; relieves negative feelings; not suicide attempt; emotional dysregulation,disruptive/impulse-control and related disorders (self-harm type),vata;pitta
Vitamin A deficiency (xerophthalmia),Nutritional Deficiency Diseases,dryness of conjunctiva; dryness of cornea; keratin debris on conjunctiva; impaired vision; night blindness; corneal ulceration; blindness in severe cases,nutritional deficiency disorder (vitamin A),pitta;vata
Night blindness (from vitamin A deficiency),Nutritional Deficiency Diseases,poor vision in dim light; difficulty adapting to darkness; eye dryness; fatigue; impaired night driving; visual field changes,nutritional deficiency disorder (vitamin A),vata
Keratomalacia,Nutritional Deficiency Diseases,corneal softening; ulceration; thinning; clouding; perforation; severe eye pain; blindness,nutritional deficiency disorder (vitamin A severe),pitta;vata
Bitot’s spots,Nutritional Deficiency Diseases,foamy white patches on conjunctiva; eye dryness; irritation; recurrent eye infections,nutritional deficiency disorder (vitamin A),vata;pitta
Follicular hyperkeratosis (vitamin A deficiency),Nutritional Deficiency Diseases,rough dry skin; follicular papules; plugging of hair follicles; keratin buildup; itching,nutritional deficiency disorder (vitamin A),vata;kapha
Vitamin D deficiency (rickets in children),Nutritional Deficiency Diseases,bone deformities; bowed legs; delayed growth; swelling at costochondral junction; muscle weakness; bone pain,nutritional deficiency disorder (vitamin D),vata;kapha
"Osteomalacia (adults, vitamin D deficiency)",Nutritional Deficiency Diseases,bone pain; fractures; muscle weakness; waddling gait; difficulty standing; bone tenderness,nutritional deficiency disorder (vitamin D),vata;kapha
Nutritional rickets (calcium/vitamin D deficiency),Nutritional Deficiency Diseases,bowed legs; rachitic rosary (rib beading); delayed closure of fontanelles; bone pain; deformities; poor growth,nutritional deficiency disorder (calcium/vitamin D),vata;kapha
Hypocalcemic tetany (calcium deficiency),Nutritional Deficiency Diseases,muscle spasms; twitching; cramps; carpopedal spasm; laryngospasm; seizures; tingling in extremities; arrhythmias,nutritional deficiency disorder (calcium),vata
Vitamin E deficiency (neurological symptoms),Nutritional Deficiency Diseases,ataxia; peripheral neuropathy; muscle weakness; impaired coordination; vision problems; tremors; immune dysfunction,nutritional deficiency disorder (vitamin E),vata;kapha
Vitamin K deficiency bleeding (hemorrhagic disease of newborn),Nutritional Deficiency Diseases,bleeding from umbilical stump; intracranial hemorrhage; mucosal bleeding; easy bruising; pallor; irritability,nutritional deficiency disorder (vitamin K),pitta
Vitamin K deficiency in adults (coagulopathy),Nutritional Deficiency Diseases,easy bruising; nosebleeds; gastrointestinal bleeding; hematuria; prolonged bleeding; heavy menstrual bleeding,nutritional deficiency disorder (vitamin K),pitta
Vitamin B1 deficiency (beriberi – wet type),Nutritional Deficiency Diseases,edema; palpitations; shortness of breath; heart failure; tachycardia; neuropathy; weakness,nutritional deficiency disorder (vitamin B1),vata;kapha
Beriberi – dry type,Nutritional Deficiency Diseases,peripheral neuropathy; muscle weakness; wasting; tingling; numbness; pain in extremities; irritability; fatigue,nutritional deficiency disorder (vitamin B1),vata
Infantile beriberi,Nutritional Deficiency Diseases,restlessness; vomiting; tachycardia; edema; convulsions; aphonia; heart failure; death if untreated,nutritional deficiency disorder (vitamin B1),vata;pitta
Wernicke’s encephalopathy (B1 deficiency),Nutritional Deficiency Diseases,confusion; ataxia; ophthalmoplegia; memory disturbance; disorientation; apathy; nystagmus,nutritional deficiency disorder (vitamin B1 neurological type),vata;pitta
Korsakoff’s psychosis (B1 deficiency),Nutritional Deficiency Diseases,severe memory loss; confabulation; disorientation; apathy; impaired learning; psychosis,nutritional deficiency disorder (vitamin B1 neurological type),vata
Vitamin B2 deficiency (ariboflavinosis),Nutritional Deficiency Diseases,sore throat; redness of tongue; cracks at corners of mouth; glossitis; photophobia; scaly skin lesions,nutritional deficiency disorder (vitamin B2),vata;pitta
Angular cheilitis (riboflavin deficiency),Nutritional Deficiency Diseases,painful cracks at corners of mouth; redness; crusting; irritation; recurrent infection,nutritional deficiency disorder (vitamin B2),pitta
