Disease,Common disease group,Symptoms,Disease Group,Dosha Types,symptoms_clean,dosha_clean
Rat-bite fever (Spirillum minus; Streptobacillus moniliformis – tropical form),tropical diseases,fever; chills; headache; muscle aches; rash (maculopapular; petechial); arthritis (migratory polyarthritis); vomiting; lymphadenopathy; sore throat; abscesses (rare); endocarditis (rare severe complication),Bacterial diseases (Zoonotic infection),pitta,fever chills headache muscle aches rash maculopapular petechial arthritis migratory polyarthritis vomiting lymphadenopathy sore throat abscesses rare endocarditis rare severe complication,pitta
Monkey malaria (Plasmodium knowlesi – zoonotic malaria variant),tropical diseases,fever (quotidian or irregular); chills; sweats; headache; myalgia; malaise; nausea; vomiting; jaundice; anemia; thrombocytopenia; hepatosplenomegaly; respiratory distress (severe); shock (severe cases),Parasitic diseases (Protozoal—malarial infection),pitta,fever quotidian or irregular chills sweats headache myalgia malaise nausea vomiting jaundice anemia thrombocytopenia hepatosplenomegaly respiratory distress severe shock severe cases,pitta
Kunjin virus fever (flavivirus; Australia/Asia tropics),tropical diseases,fever; headache; myalgia; arthralgia; fatigue; rash; nausea; vomiting; meningitis or encephalitis (rare severe); photophobia; confusion (severe),Viral diseases (Arboviral—flavivirus),pitta,fever headache myalgia arthralgia fatigue rash nausea vomiting meningitis or encephalitis rare severe photophobia confusion severe,pitta
Borio virus fever (orthobunyavirus; Africa/Asia tropics),tropical diseases,fever; chills; headache; myalgia; arthralgia; rash; nausea; fatigue; conjunctivitis; hemorrhagic signs (rare severe); neurologic symptoms (rare),Viral diseases (Arboviral—bunyavirus),pitta,fever chills headache myalgia arthralgia rash nausea fatigue conjunctivitis hemorrhagic signs rare severe neurologic symptoms rare,pitta
Tonate virus infection (tropical South America),tropical diseases,fever; headache; muscle pain; joint pain; rash; photophobia; nausea; vomiting; meningitis/encephalitis (rare); lymphadenopathy,Viral diseases (Arboviral—alphavirus),pitta,fever headache muscle pain joint pain rash photophobia nausea vomiting meningitis encephalitis rare lymphadenopathy,pitta
Yaoundé virus fever (Africa; rodent-borne),tropical diseases,acute fever; headache; muscle pain; rash; nausea; vomiting; fatigue; lymphadenopathy; neurological involvement (rare),Viral diseases (Rodent-borne—arenavirus/bunyavirus related),pitta,acute fever headache muscle pain rash nausea vomiting fatigue lymphadenopathy neurological involvement rare,pitta
Type 1 diabetes mellitus,Endocrine and Metabolic Diseases,excessive thirst; frequent urination; excessive hunger; weight loss; fatigue; blurred vision; slow-healing wounds; recurrent infections; irritability; diabetic ketoacidosis (nausea; vomiting; abdominal pain; fruity breath; confusion; coma),Endocrine disorders (Glucose metabolism),vata,excessive thirst frequent urination excessive hunger weight loss fatigue blurred vision slow healing wounds recurrent infections irritability diabetic ketoacidosis nausea vomiting abdominal pain fruity breath confusion coma,vata
Type 2 diabetes mellitus,Endocrine and Metabolic Diseases,frequent urination; excessive thirst; increased hunger; weight gain or loss; fatigue; blurred vision; slow wound healing; recurrent infections (skin; urinary; genital); numbness or tingling in hands and feet; darkened skin patches (acanthosis nigricans),Endocrine disorders (Glucose metabolism),kapha,frequent urination excessive thirst increased hunger weight gain or loss fatigue blurred vision slow wound healing recurrent infections skin urinary genital numbness or tingling in hands and feet darkened skin patches acanthosis nigricans,kapha
Gestational diabetes mellitus,Endocrine and Metabolic Diseases,increased thirst; frequent urination; fatigue; nausea; blurred vision; increased risk of infections; macrosomia (large baby); pregnancy complications (preeclampsia; premature birth),Endocrine disorders (Glucose metabolism),kapha,increased thirst frequent urination fatigue nausea blurred vision increased risk of infections macrosomia large baby pregnancy complications preeclampsia premature birth,kapha
Maturity onset diabetes of the young (MODY),Endocrine and Metabolic Diseases,mild hyperglycemia; increased thirst; frequent urination; fatigue; weight loss (sometimes); family history of early-onset diabetes; often non-obese; variable insulin requirement,Endocrine disorders (Genetic diabetes),vata,mild hyperglycemia increased thirst frequent urination fatigue weight loss sometimes family history of early onset diabetes often non obese variable insulin requirement,vata
Neonatal diabetes mellitus,Endocrine and Metabolic Diseases,persistent hyperglycemia in infants; dehydration; failure to thrive; excessive urination; irritability; poor feeding; weight loss; ketoacidosis (in severe cases),Endocrine disorders (Genetic diabetes),vata,persistent hyperglycemia in infants dehydration failure to thrive excessive urination irritability poor feeding weight loss ketoacidosis in severe cases,vata
Latent autoimmune diabetes in adults (LADA),Endocrine and Metabolic Diseases,excessive thirst; frequent urination; weight loss; fatigue; blurred vision; initial mild symptoms progressing to insulin dependence; recurrent infections,Endocrine disorders (Autoimmune diabetes),vata,excessive thirst frequent urination weight loss fatigue blurred vision initial mild symptoms progressing to insulin dependence recurrent infections,vata
Steroid-induced diabetes,Endocrine and Metabolic Diseases,frequent urination; excessive thirst; weight gain; fatigue; blurred vision; increased appetite; muscle weakness; susceptibility to infections,Endocrine disorders (Secondary diabetes),kapha,frequent urination excessive thirst weight gain fatigue blurred vision increased appetite muscle weakness susceptibility to infections,kapha
Secondary diabetes due to pancreatitis,Endocrine and Metabolic Diseases,abdominal pain; diarrhea; steatorrhea; weight loss; excessive thirst; frequent urination; fatigue; vitamin deficiencies; malnutrition,Endocrine disorders (Pancreatic diabetes),vata,abdominal pain diarrhea steatorrhea weight loss excessive thirst frequent urination fatigue vitamin deficiencies malnutrition,vata
Secondary diabetes due to Cushing’s syndrome,Endocrine and Metabolic Diseases,weight gain (central obesity); round face (moon face); fat pad on back (buffalo hump); purple striae; muscle weakness; frequent urination; excessive thirst; hypertension; mood swings; osteoporosis,Endocrine disorders (Secondary diabetes),kapha,weight gain central obesity round face moon face fat pad on back buffalo hump purple striae muscle weakness frequent urination excessive thirst hypertension mood swings osteoporosis,kapha
Impaired glucose tolerance (pre-diabetes),Endocrine and Metabolic Diseases,often asymptomatic; may show increased thirst; frequent urination; fatigue; slow wound healing; higher risk of infections; overweight/obesity; acanthosis nigricans,Endocrine disorders (Glucose metabolism),kapha,often asymptomatic may show increased thirst frequent urination fatigue slow wound healing higher risk of infections overweight obesity acanthosis nigricans,kapha
Hypothyroidism (primary),Endocrine and Metabolic Diseases,fatigue; weight gain; cold intolerance; dry skin; constipation; depression; hoarseness; hair loss; brittle nails; bradycardia; puffy face; swelling (myxedema); memory problems; menstrual irregularities,Endocrine disorders (Thyroid),kapha,fatigue weight gain cold intolerance dry skin constipation depression hoarseness hair loss brittle nails bradycardia puffy face swelling myxedema memory problems menstrual irregularities,kapha
Hashimoto’s thyroiditis,Endocrine and Metabolic Diseases,fatigue; weight gain; constipation; dry skin; hair loss; cold intolerance; goiter; swelling of neck; depression; slow heart rate; brittle nails; voice changes; myxedema; infertility,Endocrine disorders (Autoimmune thyroid),kapha,fatigue weight gain constipation dry skin hair loss cold intolerance goiter swelling of neck depression slow heart rate brittle nails voice changes myxedema infertility,kapha
Postpartum thyroiditis,Endocrine and Metabolic Diseases,fatigue; irritability; anxiety; palpitations; weight loss (initial hyperthyroid phase); followed by weight gain; depression; constipation; hair loss; dry skin (hypothyroid phase),Endocrine disorders (Thyroid—postpartum autoimmune),vata,fatigue irritability anxiety palpitations weight loss initial hyperthyroid phase followed by weight gain depression constipation hair loss dry skin hypothyroid phase,vata
Congenital hypothyroidism,Endocrine and Metabolic Diseases,prolonged jaundice; poor feeding; constipation; large tongue; hoarse cry; puffy face; umbilical hernia; growth delay; developmental delay; lethargy; dry skin,Endocrine disorders (Thyroid—congenital),kapha,prolonged jaundice poor feeding constipation large tongue hoarse cry puffy face umbilical hernia growth delay developmental delay lethargy dry skin,kapha
Hyperthyroidism,Endocrine and Metabolic Diseases,weight loss; heat intolerance; sweating; tremors; palpitations; nervousness; irritability; frequent bowel movements; muscle weakness; goiter; insomnia; brittle hair; irregular menstruation,Endocrine disorders (Thyroid),pitta,weight loss heat intolerance sweating tremors palpitations nervousness irritability frequent bowel movements muscle weakness goiter insomnia brittle hair irregular menstruation,pitta
Graves’ disease,Endocrine and Metabolic Diseases,weight loss; heat intolerance; sweating; tremors; palpitations; anxiety; irritability; insomnia; goiter; bulging eyes (exophthalmos); pretibial myxedema; increased appetite; menstrual irregularities,Endocrine disorders (Autoimmune thyroid),pitta,weight loss heat intolerance sweating tremors palpitations anxiety irritability insomnia goiter bulging eyes exophthalmos pretibial myxedema increased appetite menstrual irregularities,pitta
Toxic multinodular goiter,Endocrine and Metabolic Diseases,enlarged thyroid with nodules; weight loss; palpitations; heat intolerance; sweating; tremors; insomnia; nervousness; atrial fibrillation; fatigue,Endocrine disorders (Thyroid),pitta,enlarged thyroid with nodules weight loss palpitations heat intolerance sweating tremors insomnia nervousness atrial fibrillation fatigue,pitta
Thyroid storm,Endocrine and Metabolic Diseases,high fever; severe tachycardia; hypertension; agitation; delirium; sweating; vomiting; diarrhea; dehydration; confusion; seizures; coma,Endocrine disorders (Thyroid crisis),pitta,high fever severe tachycardia hypertension agitation delirium sweating vomiting diarrhea dehydration confusion seizures coma,pitta
Subacute thyroiditis (De Quervain’s),Endocrine and Metabolic Diseases,painful swollen thyroid; fever; fatigue; sore throat; neck pain radiating to jaw/ears; transient hyperthyroidism (palpitations; sweating); followed by hypothyroidism (fatigue; constipation),Endocrine disorders (Inflammatory thyroid),pitta,painful swollen thyroid fever fatigue sore throat neck pain radiating to jaw ears transient hyperthyroidism palpitations sweating followed by hypothyroidism fatigue constipation,pitta
Riedel’s thyroiditis,Endocrine and Metabolic Diseases,hard woody thyroid gland; neck pain; hoarseness; difficulty swallowing; dyspnea; hypothyroidism symptoms (fatigue; constipation; weight gain); goiter-related compression,Endocrine disorders (Fibrosing thyroiditis),kapha,hard woody thyroid gland neck pain hoarseness difficulty swallowing dyspnea hypothyroidism symptoms fatigue constipation weight gain goiter related compression,kapha
Addison’s disease (primary adrenal insufficiency),Endocrine and Metabolic Diseases,fatigue; weight loss; hyperpigmentation (skin/mucosa); low blood pressure; dizziness; salt craving; abdominal pain; diarrhea; vomiting; joint pain; depression; irritability; hypoglycemia; dehydration,Endocrine disorders (Adrenal),vata,fatigue weight loss hyperpigmentation skin mucosa low blood pressure dizziness salt craving abdominal pain diarrhea vomiting joint pain depression irritability hypoglycemia dehydration,vata
Secondary adrenal insufficiency,Endocrine and Metabolic Diseases,fatigue; weight loss; low blood pressure; dizziness; abdominal pain; nausea; vomiting; hypoglycemia; muscle weakness; depression; no hyperpigmentation,Endocrine disorders (Adrenal—pituitary cause),vata,fatigue weight loss low blood pressure dizziness abdominal pain nausea vomiting hypoglycemia muscle weakness depression no hyperpigmentation,vata
